PUNCT	2444
the	1908
to	1185
BANG	1141
in	814
on	804
a	780
and	766
i	762
#OCTOTHORPE	739
@USER	695
for	685
of	665
#NUM	640
is	635
ELLIPSIS	635
tomorrow	587
@URL	562
with	501
be	488
at	481
it	464
you	456
my	370
day	322
that	307
QUESTION	296
night	294
this	288
tonight	287
just	282
may	280
have	268
so	236
will	231
see	225
good	222
out	220
all	218
going	212
but	209
me	205
i'm	200
today	196
EM_HAPPY	190
are	189
was	187
up	181
friday	178
time	177
not	177
sunday	171
we	167
from	167
like	166
1st	166
get	162
it's	161
saturday	156
love	151
game	148
if	147
one	141
about	136
can't	134
go	134
he	134
as	131
wait	129
happy	119
now	118
last	114
great	114
by	112
your	111
new	111
don't	109
what	106
come	104
morning	102
monday	101
best	100
2nd	98
his	98
an	94
after	93
they	92
do	91
got	91
thursday	91
can	88
no	88
big	87
show	86
watch	86
off	82
excited	81
has	80
make	79
back	78
gonna	77
3rd	76
when	76
or	76
there	75
us	74
hope	74
watching	74
more	73
its	73
still	73
some	73
know	72
win	69
better	69
would	69
down	68
think	68
too	68
our	68
how	67
then	67
first	67
here	66
sat	66
season	66
want	65
world	63
only	63
looking	62
really	61
sun	61
lol	59
coming	59
tuesday	58
over	58
birthday	58
4th	58
who	58
vs	57
rt	56
had	54
her	54
play	54
next	54
even	54
him	54
miss	53
again	53
she	51
u	51
ever	50
work	49
well	49
wednesday	48
why	48
am	47
way	46
i'll	46
bad	46
fun	46
forward	46
been	46
than	45
start	45
party	45
week	45
live	45
november	43
thanks	43
ready	43
twitter	43
before	43
football	43
life	42
movie	42
should	42
against	42
news	42
them	41
year	41
man	41
their	41
right	40
team	40
october	40
another	40
march	40
need	40
home	40
did	40
everyone	40
EM_LOVE	40
school	40
because	40
com	39
very	39
EM_SAD	38
say	38
tv	38
concert	38
amazing	38
knicks	38
much	37
people	37
awesome	37
take	37
house	37
family	37
wish	36
pic	36
he's	36
city	35
said	35
shit	35
made	35
nov	34
state	34
im	34
thing	34
place	34
until	33
w	33
weekend	33
most	33
sure	33
oh	33
i've	33
EM_WINK	32
give	32
fuck	32
playing	32
5th	32
free	32
always	31
band	31
x	31
super	31
girl	31
never	30
real	30
beat	30
might	30
looks	30
since	29
look	29
meet	29
guys	29
were	29
lions	29
that's	29
please	29
yesterday	29
end	29
days	29
check	29
long	29
being	28
derby	28
song	28
luck	28
girls	28
round	28
says	28
getting	28
music	27
support	27
video	27
tickets	27
club	27
didn't	27
pretty	27
league	27
black	27
fans	27
nice	27
where	26
other	26
we'll	26
boys	26
center	26
join	26
london	26
feel	26
watched	25
makes	25
could	25
guy	25
match	25
enjoy	25
though	25
also	25
we're	25
o	24
open	24
full	24
having	24
bring	24
february	24
7th	24
p	24
till	24
went	24
yet	24
august	24
find	24
national	24
any	24
old	23
red	23
s	23
via	23
guess	23
soon	23
grade	23
6th	23
god	23
oct	23
heat	23
nfl	23
true	22
remember	22
won't	22
keep	22
does	22
left	22
little	22
done	22
cup	22
10th	22
many	22
far	22
v	22
found	21
you're	21
haha	21
ass	21
president	21
run	21
thank	21
anyone	21
tour	21
same	21
mom	21
starting	21
forget	21
b	21
top	21
hopefully	21
games	21
cool	21
white	21
september	21
congrats	21
came	20
st	20
half	20
yeah	20
album	20
early	20
lost	20
star	20
stop	20
yes	20
finally	20
believe	20
rest	20
every	20
already	20
greatest	20
pm	20
doesn't	20
class	20
years	19
sad	19
saw	19
awards	19
favorite	19
hey	19
try	19
race	19
let	19
perfect	19
doing	19
chance	19
dr	19
let's	19
care	19
comes	19
haven't	19
damn	19
seeing	19
seen	19
m	19
cant	19
gotta	19
rugby	19
c'mon	19
late	19
n	19
hit	19
times	18
obama	18
church	18
into	18
young	18
event	18
put	18
halloween	18
martin	18
starts	18
theatre	18
those	18
bit	18
thought	18
hate	18
glad	18
wanna	18
steve	18
wins	17
episode	17
williams	17
beautiful	17
missed	17
set	17
baby	17
high	17
festival	17
face	17
heard	17
isn't	17
evening	17
won	17
boy	17
michael	17
carter	17
final	17
mexico	17
visit	17
enough	17
film	17
celebrity	17
two	17
taking	17
almost	17
buy	17
sleep	17
must	17
everything	17
hear	17
brother	17
ok	17
york	17
gets	17
book	17
around	16
bowl	16
listening	16
anything	16
david	16
wed	16
away	16
niggas	16
december	16
juice	16
both	16
while	16
bed	16
sorry	16
she's	16
cancelled	16
dallas	16
anderson	16
peace	16
nick	16
something	16
july	16
i'd	15
things	15
san	15
comedy	15
jan	15
avril	15
tho	15
photo	15
these	15
dream	15
maybe	15
stay	15
talk	15
through	15
park	15
justin	15
detroit	15
proud	15
call	15
king	15
feb	15
which	15
june	15
four	14
marching	14
hot	14
fox	14
choice	14
espn	14
gone	14
mnf	14
funny	14
d	14
netflix	14
line	14
move	14
worldwide	14
paul	14
award	14
green	14
dance	14
lady	14
injury	14
help	14
yay	14
jackson	14
sound	14
someone	14
19th	14
planet	14
goes	14
george	14
college	14
taylor	14
apple	14
record	14
played	13
later	13
along	13
factor	13
lloyd	13
ghost	13
break	13
vegas	13
january	13
america	13
celebrate	13
between	13
read	13
hell	13
actually	13
probably	13
able	13
jersey	13
friends	13
tell	13
room	13
movies	13
side	13
dead	13
valentines	13
rock	13
kevin	13
town	13
needs	13
meeting	13
winning	13
sunday's	13
catch	13
head	13
til	13
cast	13
kill	13
follow	13
anniversary	13
okay	13
called	13
waiting	13
g	13
14th	13
kinda	13
second	12
kids	12
nicki	12
country	12
such	12
course	12
vote	12
16th	12
pass	12
silva	12
ravens	12
colts	12
post	12
valentine's	12
ya	12
finish	12
thinking	12
food	12
behind	12
scotland	12
close	12
wow	12
cause	12
florida	12
washington	12
omg	12
classic	12
shot	12
crazy	12
interesting	12
blood	12
annual	12
point	12
biggest	12
tweet	12
dwts	12
studio	12
25th	12
tom	12
players	12
dinner	12
y'all	12
directioners	12
lets	12
sons	12
ticket	12
shore	12
wichita	12
c	12
flight	12
few	12
practice	12
centre	12
april	12
james	12
lead	12
cake	12
series	11
feeling	11
saying	11
job	11
east	11
congratulations	11
minaj	11
brilliant	11
working	11
jets	11
west	11
act	11
17th	11
social	11
giants	11
15th	11
uk	11
means	11
lucky	11
stage	11
told	11
celebration	11
sarah	11
india	11
safe	11
kyle	11
test	11
central	11
ahead	11
anarchy	11
ash	11
arsenal	11
